,"('gfli_a_1', 'i_bus_d_ref')","('gfli_a_1', 'i_bus_q_ref')","('inf_src_1', 'v_ref_d')","('inf_src_1', 'v_ref_q')"
"('gfli_a_1', 'i_bus_D')",0.0,0.0,0.0,0.0
"('gfli_a_1', 'i_bus_Q')",0.0,0.0,0.0,0.0
"('inf_src_1', 'i_bus_D')",0.0,0.0,0.0,0.0
"('inf_src_1', 'i_bus_Q')",0.0,0.0,0.0,0.0
"('pa_rc_1', 'v_bus_D')",0.0,0.0,0.0,0.0
"('pa_rc_1', 'v_bus_Q')",0.0,0.0,0.0,0.0
"('pa_rc_2', 'v_bus_D')",0.0,0.0,0.0,0.0
"('pa_rc_2', 'v_bus_Q')",0.0,0.0,0.0,0.0
"('se_rl_1', 'i_br_D')",0.0,0.0,0.0,0.0
"('se_rl_1', 'i_br_Q')",0.0,0.0,0.0,0.0
